gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2863305310	ba9984d8-d982-4fe6-b81c-a7585790034a	41ca01d5-7cf8-447f-b66a-ffadf1dd6a9f	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Balclutha	Balclutha rubrostriata		SPECIES	Balclutha rubrostriata (Melichar, 1903)	Balclutha rubrostriatus		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						1994-11-20T00:00:00	20	11	1994	2044163	2044163	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263947		Wild, Alex	2020-09-17T00:00:00	CC0_1_0		K.R. Casey			2021-11-23T22:06:20.291Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305309	ba9984d8-d982-4fe6-b81c-a7585790034a	3991c23d-a398-42af-a405-5d81368d493c	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Myzocallis			GENUS	Myzocallis Passerini, 1860	Myzocallis		US	Brackenridge Field Lab, Pollinator Garden	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.2848	-97.7782							2020-09-17T00:00:00	17	9	2020	7825930		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263967		Wild, Alex	2020-09-18T00:00:00	CC0_1_0		Alex Wild			2021-11-23T22:06:20.270Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305307	ba9984d8-d982-4fe6-b81c-a7585790034a	508c17f2-5f8b-4087-8a0d-91f1e219d0ae	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Acinopterus			GENUS	Acinopterus Van Duzee, 1892	Acinopterus		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						2004-10-20T00:00:00	20	10	2004	2036673		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263950		Wild, Alex	2020-09-17T00:00:00	CC0_1_0		A.C. Kaufman			2021-11-23T22:06:20.190Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305306	ba9984d8-d982-4fe6-b81c-a7585790034a	de04f611-7a56-4d25-994e-405274a286c9	Animalia	Arthropoda	Insecta	Diptera	Piophilidae	Prochyliza	Prochyliza xanthostoma		SPECIES	Prochyliza xanthostoma Walker, 1849	Prochyliza xanthostoma		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						2002-02-24T00:00:00	24	2	2002	1522318	1522318	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263939		Wild, Alex	2020-09-15T00:00:00	CC0_1_0		J.C. Abbott			2021-11-23T22:06:21.600Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305305	ba9984d8-d982-4fe6-b81c-a7585790034a	9edf0e15-be1f-4370-9d6e-c30c67513a22	Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Gryon			GENUS	Gryon Haliday, 1833	Gryon		US	Brackenridge Field Lab, Pollinator Garden	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.2848	-97.7782							2020-09-17T00:00:00	17	9	2020	1401776		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263965		Wild, Alex	2020-09-18T00:00:00	CC0_1_0		Alex Wild			2021-11-23T22:06:20.127Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305304	ba9984d8-d982-4fe6-b81c-a7585790034a	04c0229b-3504-4752-b017-a6d20973ab45	Animalia	Arthropoda	Insecta	Hymenoptera	Mymaridae	Cosmocomoidea			GENUS	Cosmocomoidea Howard, 1908	Cosmocomoidea		US	Brackenridge Field Lab, Pollinator Garden	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.2848	-97.7782							2020-09-17T00:00:00	17	9	2020	1368175		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263968		Wild, Alex	2020-09-18T00:00:00	CC0_1_0		Alex Wild			2021-11-23T22:06:21.578Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305303	ba9984d8-d982-4fe6-b81c-a7585790034a	455033c4-9933-49e0-a01b-7e492300868e	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Acinopterus			GENUS	Acinopterus Van Duzee, 1892	Acinopterus		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						1987-10-02T00:00:00	2	10	1987	2036673		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263951		Wild, Alex	2020-09-17T00:00:00	CC0_1_0		R Patrock			2021-11-23T22:06:21.546Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305302	ba9984d8-d982-4fe6-b81c-a7585790034a	d6be22d4-f9b9-437d-b884-bd2c91b861e8	Animalia	Arthropoda	Insecta	Diptera	Piophilidae	Prochyliza	Prochyliza xanthostoma		SPECIES	Prochyliza xanthostoma Walker, 1849	Prochyliza xanthostoma		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						2002-02-15T00:00:00	15	2	2002	1522318	1522318	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263938		Wild, Alex	2020-09-15T00:00:00	CC0_1_0		J.C. Abbott			2021-11-23T22:06:20.057Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305301	ba9984d8-d982-4fe6-b81c-a7585790034a	d27a6097-8d3d-454f-a262-4789af57fc3e	Animalia	Arthropoda	Insecta	Diptera	Piophilidae	Prochyliza	Prochyliza xanthostoma		SPECIES	Prochyliza xanthostoma Walker, 1849	Prochyliza xanthostoma		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						2002-02-15T00:00:00	15	2	2002	1522318	1522318	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263937		Wild, Alex	2020-09-15T00:00:00	CC0_1_0		J.C. Abbott			2021-11-23T22:06:21.512Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2860688422	ba9984d8-d982-4fe6-b81c-a7585790034a	68cb7b7a-5666-4fa8-b1db-96fbfb8d8881	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Jikradia	Jikradia olitoria		SPECIES	Jikradia olitoria (Say, 1830)	Jikradia olitoria		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						2004-10-12T00:00:00	12	10	2004	2029056	2029056	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263889		Wild, Alex	2020-09-09T00:00:00	CC0_1_0		A.C. Kaufman			2021-11-23T22:06:22.671Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
